Symbol,Synonym Symbol,Scientific Name with Author,National Common Name,Family
RURE2,ABAB3,Rubus recurvicaulis Blanch.,arching dewberry,Rosaceae
RURE2,RUON,Rubus onustus L.H. Bailey,hybrid violet,Rosaceae
RURE2,RUREI,Rubus recurvicaulis Blanch. var. inarmatus Blanch.,hybrid violet,Rosaceae
RURO3,ABAB3,Rubus rosa L.H. Bailey,rose blackberry,Rosaceae
RURO4,ABAB3,Rubus rossbergianus Blanch.,Connecticut blackberry,Rosaceae
RUSA4,ABAB3,Rubus saltuensis L.H. Bailey,Tolland County blackberry,Rosaceae
RUSE,ABAB3,Rubus setosus Bigelow,setose blackberry,Rosaceae
RUSE,RUBE5,Rubus beatus L.H. Bailey,hybrid violet,Rosaceae
RUSE,RUCO13,Rubus condignus L.H. Bailey,hybrid violet,Rosaceae
RUSE,RUDI8,Rubus discretus L.H. Bailey,hybrid violet,Rosaceae
RUSE,RUGR6,Rubus groutianus Blanch.,hybrid violet,Rosaceae
RUSE,RUHIS3,Rubus hispidus L. var. suberectus Peck,hybrid violet,Rosaceae
RUSE,RUJU3,Rubus junior L.H. Bailey,hybrid violet,Rosaceae
RUSE,RUNI6,Rubus nigricans Rydb.,hybrid violet,Rosaceae
RUSE,RURI5,Rubus ribes L.H. Bailey,hybrid violet,Rosaceae
RUSE,RUSI5,Rubus significans L.H. Bailey,hybrid violet,Rosaceae
RUSE,RUTE9,Rubus tectus L.H. Bailey,hybrid violet,Rosaceae
RUSE,RUUD,Rubus udus L.H. Bailey,hybrid violet,Rosaceae
RUSE3,ABAB3,Rubus semisetosus Blanch.,swamp blackberry,Rosaceae
RUSE3,RUBE9,Rubus benneri L.H. Bailey,hybrid violet,Rosaceae
RUVE5,ABAB3,Rubus vermontanus Blanch.,Vermont blackberry,Rosaceae
RUVE5,RUAB5,Rubus abbrevians Blanch.,hybrid violet,Rosaceae
RUVE5,RUDE10,Rubus deaneanus L.H. Bailey,hybrid violet,Rosaceae
RUVE5,RUMA16,Rubus malus L.H. Bailey,hybrid violet,Rosaceae
RUVE5,RUMI6,Rubus miscix L.H. Bailey,hybrid violet,Rosaceae
RUVE5,RUMU7,Rubus multilicius L.H. Bailey,hybrid violet,Rosaceae
RUVE5,RUPE17,Rubus peculiaris Blanch.,hybrid violet,Rosaceae
RUVE5,RUPE16,Rubus perdebilis L.H. Bailey,hybrid violet,Rosaceae
RUVE5,RUQU2,Rubus quebecensis L.H. Bailey,hybrid violet,Rosaceae
RUVE5,RUSI6,Rubus singulus L.H. Bailey,hybrid violet,Rosaceae
RUVE5,RUSU11,Rubus superioris L.H. Bailey,hybrid violet,Rosaceae
RUVE5,RUUN4,Rubus unanimus L.H. Bailey,hybrid violet,Rosaceae
RUVE5,RUVEV,Rubus vermontanus Blanch. var. viridiflorus Blanch.,hybrid violet,Rosaceae
SACA14,ABAB3,Sanguisorba canadensis L.,Canadian burnet,Rosaceae
SACA14,SACAL3,Sanguisorba canadensis L. ssp. latifolia (Hook.) Calder & Roy L. Taylor,hybrid violet,Rosaceae
SACA14,SACAL,Sanguisorba canadensis L. var. latifolia Hook.,hybrid violet,Rosaceae
SACA14,SASI10,Sanguisorba sitchensis C.A. Mey.,hybrid violet,Rosaceae
SACA14,SAST11,Sanguisorba stipulata Raf.,hybrid violet,Rosaceae
SAMI3,ABAB3,Sanguisorba minor Scop.,small burnet,Rosaceae
SAMI3,POSA6,Poterium sanguisorba L.,hybrid violet,Rosaceae
SAMIB2,ABAB3,Sanguisorba minor Scop. ssp. balearica (Bourg. ex Nyman) M. Garm. & C. Navarro,small burnet,Rosaceae
SAMIB2,POPO11,Poterium polygamum Waldst. & Kit.,hybrid violet,Rosaceae
SAMIB2,POSA16,Poterium sanguisorba auct. non L.,hybrid violet,Rosaceae
SAMIB2,SAMIM,Sanguisorba minor Scop. ssp. muricata (Spach ex Bonnier & Layens) Nordborg,hybrid violet,Rosaceae
SANGU2,ABAB3,Sanguisorba L.,burnet,Rosaceae
SIBBA2,ABAB3,Sibbaldiopsis Rydb.,sibbaldiopsis,Rosaceae
SITR3,ABAB3,Sibbaldiopsis tridentata (Aiton) Rydb.,shrubby fivefingers,Rosaceae
SITR3,PORE3,"Potentilla retusa O.F. Müll., nom. utique rej.",hybrid violet,Rosaceae
SITR3,POTR7,Potentilla tridentata Aiton,hybrid violet,Rosaceae
SITR3,SITR2,Sibbaldia tridentata (Aiton) Paule & Soják,hybrid violet,Rosaceae
SOAM3,ABAB3,Sorbus americana Marshall,American mountain ash,Rosaceae
SOAM3,PYAM2,Pyrus americana (Marshall) DC.,hybrid violet,Rosaceae
SOAM3,PYMI4,Pyrus microcarpa (Pursh) Spreng.,hybrid violet,Rosaceae
SOAU,ABAB3,Sorbus aucuparia L.,European mountain ash,Rosaceae
SOAU,PYAU,Pyrus aucuparia (L.) Gaertn.,hybrid violet,Rosaceae
SOAU,SOAUX2,Sorbus aucuparia L. var. xanthocarpa Hartwig & Rümpler,hybrid violet,Rosaceae
SODE3,ABAB3,Sorbus decora (Sarg.) C.K. Schneid.,northern mountain ash,Rosaceae
SODE3,PYAMD,Pyrus americana (Marshall) DC. var. decora Sarg.,hybrid violet,Rosaceae
SODE3,PYDE2,Pyrus decora (Sarg.) Hyl.,hybrid violet,Rosaceae
SORBA,ABAB3,Sorbaria (Ser. ex DC.) A. Braun,false spiraea,Rosaceae
SORBU,ABAB3,Sorbus L.,mountain ash,Rosaceae
SOSO2,ABAB3,Sorbaria sorbifolia (L.) A. Braun,false spiraea,Rosaceae
SOSO2,SCSO,Schizonotus sorbifolius (L.) Lindl.,hybrid violet,Rosaceae
SOSO2,SOSOS,Sorbaria sorbifolia (L.) A. Braun var. stellipila Maxim.,hybrid violet,Rosaceae
SOSO2,SPSO,Spiraea sorbifolia L.,hybrid violet,Rosaceae
SPAL2,ABAB3,Spiraea alba Du Roi,white meadowsweet,Rosaceae
SPALL,ABAB3,Spiraea alba Du Roi var. latifolia (Aiton) Dippel,white meadowsweet,Rosaceae
SPALL,SPLA2,Spiraea latifolia (Aiton) Borkh.,hybrid violet,Rosaceae
SPCH3,ABAB3,Spiraea chamaedryfolia L.,Germander meadowsweet,Rosaceae
SPCHC,ABAB3,Spiraea chamaedryfolia L. var. chamaedryfolia,Germander meadowsweet,Rosaceae
SPCHU,ABAB3,Spiraea chamaedryfolia L. var. ulmifolia (Scop.) Maxim.,Germander meadowsweet,Rosaceae
SPIRA,ABAB3,Spiraea L.,spirea,Rosaceae
SPJA,ABAB3,Spiraea japonica L. f.,Japanese meadowsweet,Rosaceae
SPJA,SPJAA,Spiraea japonica L. f. var. alpina Maxim.,hybrid violet,Rosaceae
SPJAF,ABAB3,Spiraea japonica L. f. var. fortunei (Planch.) Rehder,fortune meadowsweet,Rosaceae
SPPR,ABAB3,Spiraea prunifolia Siebold & Zucc.,bridalwreath spirea,Rosaceae
SPPR,SPPRP,Spiraea prunifolia Siebold & Zucc. var. plena C.K. Schneid.,hybrid violet,Rosaceae
SPTH2,ABAB3,Spiraea thunbergii Siebold ex Blume,Thunberg's meadowsweet,Rosaceae
SPTO2,ABAB3,Spiraea tomentosa L.,steeplebush,Rosaceae
SPTO2,SPTOR,Spiraea tomentosa L. var. rosea (Raf.) Fernald,hybrid violet,Rosaceae
SPTO2,SPTOT,Spiraea tomentosa L. var. tomentosa,hybrid violet,Rosaceae
SPVA2,ABAB3,Spiraea ×vanhouttei (Briot) Carrière [cantoniensis × trilobata],spirea,Rosaceae
WAFR,ABAB3,Waldsteinia fragarioides (Michx.) Tratt.,Appalachian barren strawberry,Rosaceae
WAFR,GEFR3,Geum fragarioides (Michx.) Smedmark,hybrid violet,Rosaceae
WAFRF,ABAB3,Waldsteinia fragarioides (Michx.) Tratt. ssp. fragarioides,Appalachian barren strawberry,Rosaceae
WAFRF,WAFRF2,Waldsteinia fragarioides (Michx.) Tratt. var. fragarioides,hybrid violet,Rosaceae
WALDS,ABAB3,Waldsteinia Willd.,barren strawberry,Rosaceae
ASAR2,ABAB3,Asperula arvensis L.,blue woodruff,Rubiaceae
ASPER2,ABAB3,Asperula L.,woodruff,Rubiaceae
CEOC2,ABAB3,Cephalanthus occidentalis L.,common buttonbush,Rubiaceae
CEOC2,CEOCC2,Cephalanthus occidentalis L. var. californicus Benth.,hybrid violet,Rubiaceae
CEOC2,CEOCP2,Cephalanthus occidentalis L. var. pubescens Raf.,hybrid violet,Rubiaceae
CEPHA,ABAB3,Cephalanthus L.,buttonbush,Rubiaceae
DIODI,ABAB3,Diodia L.,buttonweed,Rubiaceae
DITE2,ABAB3,Diodia teres Walter,poorjoe,Rubiaceae
DITET,ABAB3,Diodia teres Walter var. teres,poorjoe,Rubiaceae
DITET,DITE6,Diodella teres (Walter) Small,hybrid violet,Rubiaceae
DITET,DITES,Diodia teres Walter var. setifera Fernald & Grisc.,hybrid violet,Rubiaceae
DIVI3,ABAB3,Diodia virginiana L.,Virginia buttonweed,Rubiaceae
DIVIV2,ABAB3,Diodia virginiana L. var. virginiana,Virginia buttonweed,Rubiaceae
DIVIV2,DIHA,Diodia harperi Small,hybrid violet,Rubiaceae
DIVIV2,DIHI6,Diodia hirsuta Pursh,hybrid violet,Rubiaceae
DIVIV2,DITE7,Diodia tetragona Walter,hybrid violet,Rubiaceae
GAAL,ABAB3,Galium album Mill.,white bedstraw,Rubiaceae
GAAP2,ABAB3,Galium aparine L.,stickywilly,Rubiaceae
GAAP2,GAAGE,Galium agreste Wallr. var. echinospermum Wallr.,hybrid violet,Rubiaceae
GAAP2,GAAPS,Galium aparine L. ssp. spurium (L.) Simonkai,hybrid violet,Rubiaceae
GAAP2,GAAPE,Galium aparine L. var. echinospermum (Wallr.) Farw.,hybrid violet,Rubiaceae
GAAP2,GAAPI,Galium aparine L. var. intermedium (Merr.) Briq.,hybrid violet,Rubiaceae
GAAP2,GAAPM,Galium aparine L. var. minor Hook.,hybrid violet,Rubiaceae
GAAP2,GAAPV,Galium aparine L. var. vaillantii (DC.) Koch,hybrid violet,Rubiaceae
GAAP2,GASP3,Galium spurium L.,hybrid violet,Rubiaceae
GAAP2,GASPE,Galium spurium L. var. echinospermum (Wallr.) Hayek,hybrid violet,Rubiaceae
GAAP2,GASPV,Galium spurium L. var. vaillantii (DC.) Gren. & Godr.,hybrid violet,Rubiaceae
GAAP2,GASPV2,Galium spurium L. var. vaillantii (DC.) G. Beck,hybrid violet,Rubiaceae
GAAP2,GAVA,Galium vaillantii DC.,hybrid violet,Rubiaceae
GAAS2,ABAB3,Galium asprellum Michx.,rough bedstraw,Rubiaceae
GABO2,ABAB3,Galium boreale L.,northern bedstraw,Rubiaceae
GABO2,GABOS,Galium boreale L. ssp. septentrionale (Roem. & Schult.) H. Hara,hybrid violet,Rubiaceae
GABO2,GABOS2,Galium boreale L. ssp. septentrionale (Roem. & Schult.) Iltis,hybrid violet,Rubiaceae
GABO2,GABOH,Galium boreale L. var. hyssopifolium (Hoffm.) DC.,hybrid violet,Rubiaceae
GABO2,GABOI,Galium boreale L. var. intermedium DC.,hybrid violet,Rubiaceae
GABO2,GABOL,Galium boreale L. var. linearifolium Rydb.,hybrid violet,Rubiaceae
GABO2,GABOS3,Galium boreale L. var. scabrum DC.,hybrid violet,Rubiaceae
GABO2,GABOT,Galium boreale L. var. typicum G. Beck,hybrid violet,Rubiaceae
GABO2,GAHY2,Galium hyssopifolium Hoffm.,hybrid violet,Rubiaceae
GABO2,GASE6,Galium septentrionale Roem. & Schult.,hybrid violet,Rubiaceae
GABO2,GAST4,Galium strictum Torr.,hybrid violet,Rubiaceae
GACI2,ABAB3,Galium circaezans Michx.,licorice bedstraw,Rubiaceae
GACIC,ABAB3,Galium circaezans Michx. var. circaezans,licorice bedstraw,Rubiaceae
GACIC,GABO4,"Galium boreale sensu Walter, non L.",hybrid violet,Rubiaceae
GACIC,GABR7,"Galium brachiatum sensu Muhl., non Pursh",hybrid violet,Rubiaceae
GACIC,GACI3,Galium circaeoides Roem. & Schult.,hybrid violet,Rubiaceae
GACIC,GACIG,Galium circaezans Michx. var. glabellum Britton,hybrid violet,Rubiaceae
GACIC,GACIG2,Galium circaezans Michx. var. glabrum Britton,hybrid violet,Rubiaceae
GACIC,GACIT,Galium circaezans Michx. var. typicum Fernald,hybrid violet,Rubiaceae
GACIC,GAROC,Galium rotundifolium L. var. circaezans (Michx.) Kuntze,hybrid violet,Rubiaceae
GACIH,ABAB3,Galium circaezans Michx. var. hypomalacum Fernald,licorice bedstraw,Rubiaceae
GAGL3,ABAB3,Galium glaucum L.,waxy bedstraw,Rubiaceae
GAGL3,ASGA5,Asperula galioides M. Bieb.,hybrid violet,Rubiaceae
GAGL3,ASGL,Asperula glauca (L.) Besser,hybrid violet,Rubiaceae
GALA2,ABAB3,Galium labradoricum (Wiegand) Wiegand,northern bog bedstraw,Rubiaceae
GALA2,GATIL,Galium tinctorium (L.) Scop. var. labradoricum Wiegand,hybrid violet,Rubiaceae
GALA3,ABAB3,Galium lanceolatum Torr.,lanceleaf wild licorice,Rubiaceae
GALA3,GACIL,Galium circaezans Michx. var. lanceolatum (Torr.) Torr. & A. Gray,hybrid violet,Rubiaceae
GALA3,GAROL,Galium rotundifolium L. var. lanceolatum (Torr.) Kuntze,hybrid violet,Rubiaceae
GALA3,GATO,Galium torreyi Bigelow,hybrid violet,Rubiaceae
GALIU,ABAB3,Galium L.,bedstraw,Rubiaceae
GAMO,ABAB3,Galium mollugo L.,false baby's breath,Rubiaceae
GAMO,GAER3,Galium erectum Huds.,hybrid violet,Rubiaceae
GAMO,GAMOE,Galium mollugo L. ssp. erectum (Huds.) Briq.,hybrid violet,Rubiaceae
GAMO,GAMOE2,Galium mollugo L. var. erectum (Huds.) Domin,hybrid violet,Rubiaceae
GAOB,ABAB3,Galium obtusum Bigelow,bluntleaf bedstraw,Rubiaceae
GAOBO,ABAB3,Galium obtusum Bigelow ssp. obtusum,bluntleaf bedstraw,Rubiaceae
GAOBO,GAOBR,Galium obtusum Bigelow var. ramosum Gleason,hybrid violet,Rubiaceae
GAOBO,GATRL,Galium trifidum L. var. latifolium Torr.,hybrid violet,Rubiaceae
GAPA3,ABAB3,Galium palustre L.,common marsh bedstraw,Rubiaceae
GAPI2,ABAB3,Galium pilosum Aiton,hairy bedstraw,Rubiaceae
GAPIP,ABAB3,Galium pilosum Aiton var. puncticulosum (Michx.) Torr. & A. Gray,hairy bedstraw,Rubiaceae
GAPIP,GAPU5,Galium punctatum Pers.,hybrid violet,Rubiaceae
GAPIP,GAPU7,Galium puncticulosum Michx.,hybrid violet,Rubiaceae
GAPIP,GAPU6,"Galium purpureum Walter, non L.",hybrid violet,Rubiaceae
GAPIP,GAWA2,Galium walteri J.F. Gmel.,hybrid violet,Rubiaceae
GAPIP3,ABAB3,Galium pilosum Aiton var. pilosum,hairy bedstraw,Rubiaceae
GAPIP3,GAPUP3,Galium puncticulosum Michx. var. pilosum (Aiton) DC.,hybrid violet,Rubiaceae
GAPO3,ABAB3,Galium ×pomeranicum Retz. [album × verum],bedstraw,Rubiaceae
GAPO3,GAOC,Galium ×ochroleucum Wolf ex Schweigg.,hybrid violet,Rubiaceae
GASY,ABAB3,Galium sylvaticum L.,Scotch mist,Rubiaceae
GATI,ABAB3,Galium tinctorium (L.) Scop.,stiff marsh bedstraw,Rubiaceae
GATI,ASTI4,Asperula tinctoria L.,hybrid violet,Rubiaceae
GATI,GACL3,Galium claytonii Michx.,hybrid violet,Rubiaceae
GATI,GAOBF3,Galium obtusum Bigelow var. floridanum (Wiegand) Fernald,hybrid violet,Rubiaceae
GATI,GATIF,Galium tinctorium (L.) Scop. ssp. floridanum (Wiegand) Puff,hybrid violet,Rubiaceae
GATI,GATID,Galium tinctorium (L.) Scop. var. diversifolium W. Wight,hybrid violet,Rubiaceae
GATI,GATIF3,Galium tinctorium (L.) Scop. var. floridanum Wiegand,hybrid violet,Rubiaceae
GATI,GATRT2,Galium trifidum L. ssp. tinctorium (L.) H. Hara,hybrid violet,Rubiaceae
GATI,GATRT3,Galium trifidum L. var. tinctorium (L.) Torr. & A. Gray,hybrid violet,Rubiaceae
GATR2,ABAB3,Galium trifidum L.,threepetal bedstraw,Rubiaceae
GATR3,ABAB3,Galium triflorum Michx.,fragrant bedstraw,Rubiaceae
GATR3,GABR9,Galium brachiatum Pursh,hybrid violet,Rubiaceae
GATR3,GAPE5,Galium pennsylvanicum W. Bartram,hybrid violet,Rubiaceae
GATR3,GATRA,Galium triflorum Michx. var. asprelliforme Fernald,hybrid violet,Rubiaceae
GATR3,GATRV,Galium triflorum Michx. var. viridiflorum DC.,hybrid violet,Rubiaceae
GATRT5,ABAB3,Galium trifidum L. ssp. trifidum,threepetal bedstraw,Rubiaceae
GATRT5,GATRT,Galium trifidum L. var. trifidum,hybrid violet,Rubiaceae
GAVE,ABAB3,Galium verum L.,Yellow Spring bedstraw,Rubiaceae
GAVEV,ABAB3,Galium verum L. var. verum,Yellow Spring bedstraw,Rubiaceae
GAVEW2,ABAB3,Galium verum L. var. wirtgenii (F.W. Schultz) Oborny,Wirtgen's bedstraw,Rubiaceae
GAVEW2,GAVEW,Galium verum L. ssp. wirtgenii (F.W. Schultz) Oborny,hybrid violet,Rubiaceae
GAVEW2,GAWI,Galium wirtgenii F.W. Schultz,hybrid violet,Rubiaceae
HOCA4,ABAB3,Houstonia caerulea L.,azure bluet,Rubiaceae
HOCA4,HECA19,Hedyotis caerulea (L.) Hook.,hybrid violet,Rubiaceae
HOCA4,HOCAF,Houstonia caerulea L. var. faxonorum Pease & A.H. Moore,hybrid violet,Rubiaceae
HOLO,ABAB3,Houstonia longifolia Gaertn.,longleaf summer bluet,Rubiaceae
HOLO,HELO7,Hedyotis longifolia (Gaertn.) Hook.,hybrid violet,Rubiaceae
HOLO,HELOT,Hedyotis longifolia (Gaertn.) Hook. var. tenuifolia (Nutt.) Torr. & A. Gray,hybrid violet,Rubiaceae
HOLO,HENU2,Hedyotis nuttalliana Fosberg,hybrid violet,Rubiaceae
HOLO,HEPUL2,Hedyotis purpurea (L.) Torr. & A. Gray var. longifolia (Gaertn.) Fosberg,hybrid violet,Rubiaceae
HOLO,HEPUT,Hedyotis purpurea (L.) Torr. & A. Gray var. tenuifolia (Nutt.) Fosberg,hybrid violet,Rubiaceae
HOLO,HOLOC2,Houstonia longifolia Gaertn. var. compacta Terrell,hybrid violet,Rubiaceae
HOLO,HOLOG,Houstonia longifolia Gaertn. var. glabra Terrell,hybrid violet,Rubiaceae
HOLO,HOLOT,Houstonia longifolia Gaertn. var. tenuifolia (Nutt.) Alph. Wood,hybrid violet,Rubiaceae
HOLO,HOPUT,Houstonia purpurea L. var. tenuifolia (Nutt.) A. Gray,hybrid violet,Rubiaceae
HOLO,HOTE3,Houstonia tenuifolia Nutt.,hybrid violet,Rubiaceae
HOLO,OLPUT,Oldenlandia purpurea (L.) A. Gray var. tenuifolia (Nutt.) A. Gray ex Chapm.,hybrid violet,Rubiaceae
HOPU2,ABAB3,Houstonia purpurea L.,Venus' pride,Rubiaceae
HOPUC,ABAB3,Houstonia purpurea L. var. calycosa A. Gray,Venus' pride,Rubiaceae
HOPUC,HELA16,Hedyotis lanceolata Poir.,hybrid violet,Rubiaceae
HOPUC,HEPUC2,Hedyotis purpurea (L.) Torr. & A. Gray var. calycosa (A. Gray) Fosberg,hybrid violet,Rubiaceae
HOPUC,HOCA10,Houstonia calycosa (A. Gray) C. Mohr,hybrid violet,Rubiaceae
HOPUC,HOLA5,Houstonia lanceolata (Poir.) Britton,hybrid violet,Rubiaceae
HOUST,ABAB3,Houstonia L.,bluet,Rubiaceae
MIRE,ABAB3,Mitchella repens L.,partridgeberry,Rubiaceae
MITCH,ABAB3,Mitchella L.,mitchella,Rubiaceae
SHAR2,ABAB3,Sherardia arvensis L.,blue fieldmadder,Rubiaceae
SHERA,ABAB3,Sherardia L.,sherardia,Rubiaceae
RUMA5,ABAB3,Ruppia maritima L.,widgeongrass,Ruppiaceae
RUMA5,RUMAB,Ruppia maritima L. var. brevirostris J. Agardh,hybrid violet,Ruppiaceae
RUMA5,RUMAE,Ruppia maritima L. var. exigua Fernald & Wiegand,hybrid violet,Ruppiaceae
RUMA5,RUMAI,Ruppia maritima L. var. intermedia (Thed.) Asch. & Graebn.,hybrid violet,Ruppiaceae
RUMA5,RUMAL,Ruppia maritima L. var. longipes Hagstr.,hybrid violet,Ruppiaceae
RUMA5,RUMAO2,Ruppia maritima L. var. obliqua (Schur) Asch. & Graebn.,hybrid violet,Ruppiaceae
RUMA5,RUMAP,Ruppia maritima L. var. pacifica H. St. John & Fosberg,hybrid violet,Ruppiaceae
RUMA5,RUMAR,Ruppia maritima L. var. rostrata J. Agardh,hybrid violet,Ruppiaceae
RUMA5,RUMAS2,Ruppia maritima L. var. subcapitata Fernald & Wiegand,hybrid violet,Ruppiaceae
RUMA5,RUPE14,Ruppia pectinata Rydb.,hybrid violet,Ruppiaceae
RUPPI,ABAB3,Ruppia L.,widgeonweed,Ruppiaceae
PHAM2,ABAB3,Phellodendron amurense Rupr.,Amur corktree,Rutaceae
PHELL,ABAB3,Phellodendron Rupr.,corktree,Rutaceae
PHSA80,ABAB3,Phellodendron sachalinense (F. Schmidt) Sarg.,Sakhalin corktree,Rutaceae
PTELE,ABAB3,Ptelea L.,hoptree,Rutaceae
PTTR,ABAB3,Ptelea trifoliata L.,common hoptree,Rutaceae
PTTRT,ABAB3,Ptelea trifoliata L. ssp. trifoliata,common hoptree,Rutaceae
PTTRT2,ABAB3,Ptelea trifoliata L. ssp. trifoliata var. trifoliata,common hoptree,Rutaceae
PTTRT2,PTBA2,Ptelea baldwinii Torr. & A. Gray,hybrid violet,Rutaceae
PTTRT2,PTMI,Ptelea microcarpa Small,hybrid violet,Rutaceae
PTTRT2,PTSE,Ptelea serrata Small,hybrid violet,Rutaceae
PTTRT2,PTTRD,Ptelea trifoliata L. var. deamiana Nieuwl.,hybrid violet,Rutaceae
RUGR3,ABAB3,Ruta graveolens L.,common rue,Rutaceae
RUTA5,ABAB3,Ruta L.,rue,Rutaceae
ZAAM,ABAB3,Zanthoxylum americanum Mill.,common pricklyash,Rutaceae
ZANTH,ABAB3,Zanthoxylum L.,pricklyash,Rutaceae
POAL7,ABAB3,Populus alba L.,white poplar,Salicaceae
POAL7,POALB,Populus alba L. var. bolleana Lauche,hybrid violet,Salicaceae
POAL7,POALN,Populus alba L. var. nivea Aiton,hybrid violet,Salicaceae
POAL7,POALP,Populus alba L. var. pyramidalis Bunge,hybrid violet,Salicaceae
POBA2,ABAB3,Populus balsamifera L.,balsam poplar,Salicaceae
POBAB2,ABAB3,Populus balsamifera L. ssp. balsamifera,balsam poplar,Salicaceae
POBAB2,POBAC2,Populus balsamifera L. var. candicans (Aiton) A. Gray,hybrid violet,Salicaceae
POBAB2,POBAF,Populus balsamifera L. var. fernaldiana Rouleau,hybrid violet,Salicaceae
POBAB2,POBAL,Populus balsamifera L. var. lanceolata Marshall,hybrid violet,Salicaceae
POBAB2,POBAM,Populus balsamifera L. var. michauxii (Dode) A. Henry,hybrid violet,Salicaceae
POBAB2,POBAS2,Populus balsamifera L. var. subcordata Hyl.,hybrid violet,Salicaceae
POBAB2,POCA33,Populus candicans Aiton,hybrid violet,Salicaceae
POBAB2,POMI7,Populus michauxii Dode,hybrid violet,Salicaceae
POBAB2,POTA2,Populus tacamahaca Mill.,hybrid violet,Salicaceae
POBAB2,POTAC,Populus tacamahaca Mill. var. candicans (Aiton) Stout,hybrid violet,Salicaceae
POBAB2,POTAL,Populus tacamahaca Mill. var. lanceolata (Marshall) Farw.,hybrid violet,Salicaceae
POBAB2,POTAM2,Populus tacamahaca Mill. var. michauxii (Dode) Farw.,hybrid violet,Salicaceae
POCA14,ABAB3,Populus ×canescens (Aiton) Sm. (pro sp.) [alba × tremula],gray poplar,Salicaceae
POCA14,POALC,Populus alba L. var. canescens Aiton,hybrid violet,Salicaceae
POCA14,POHY6,Populus hybrida M. Bieb.,hybrid violet,Salicaceae
PODE3,ABAB3,Populus deltoides W. Bartram ex Marshall,eastern cottonwood,Salicaceae
PODED,ABAB3,Populus deltoides W. Bartram ex Marshall ssp. deltoides,eastern cottonwood,Salicaceae
PODED,POAN15,Populus angulata Aiton,hybrid violet,Salicaceae
PODED,POANM,Populus angulata Aiton var. missouriensis A. Henry,hybrid violet,Salicaceae
PODED,POBAM2,Populus balsamifera L. var. missouriensis (A. Henry) Rehder,hybrid violet,Salicaceae
PODED,POBAP,Populus balsamifera L. var. pilosa Sarg.,hybrid violet,Salicaceae
PODED,POBAV,Populus balsamifera L. var. virginiana (Foug.) Sarg.,hybrid violet,Salicaceae
PODED,POCAV2,Populus canadensis Moench var. virginiana (Foug.) Fiori,hybrid violet,Salicaceae
PODED,PODEA,Populus deltoides W. Bartram ex Marshall var. angulata (Aiton) Sarg.,hybrid violet,Salicaceae
PODED,PODEM2,Populus deltoides W. Bartram ex Marshall var. missouriensis (A. Henry) A. Henry,hybrid violet,Salicaceae
PODED,PODEP,Populus deltoides W. Bartram ex Marshall var. pilosa (Sarg.) Sudw.,hybrid violet,Salicaceae
PODED,PODEV,Populus deltoides W. Bartram ex Marshall var. virginiana (Foug.) Sudw.,hybrid violet,Salicaceae
PODED,PONIV2,Populus nigra L. var. virginiana (Foug.) Castigl.,hybrid violet,Salicaceae
PODED,POPA25,Populus palmeri Sarg.,hybrid violet,Salicaceae
PODED,POVI13,Populus virginiana Foug.,hybrid violet,Salicaceae
PODED,POVIP2,Populus virginiana Foug. var. pilosa (Sarg.) F.C. Gates,hybrid violet,Salicaceae
POGR4,ABAB3,Populus grandidentata Michx.,bigtooth aspen,Salicaceae
POGR4,POGRA2,Populus grandidentata Michx. var. angustata Vict.,hybrid violet,Salicaceae
POGR4,POGRM4,Populus grandidentata Michx. var. meridionalis Tidestr.,hybrid violet,Salicaceae
POGR4,POGRS,Populus grandidentata Michx. var. subcordata Vict.,hybrid violet,Salicaceae
POHE4,ABAB3,Populus heterophylla L.,swamp cottonwood,Salicaceae
POHE4,POAR15,Populus argentea Michx. f.,hybrid violet,Salicaceae
POJA2,ABAB3,Populus ×jackii Sarg. [balsamifera × deltoides],balm-of-Gilead,Salicaceae
POJA2,POAN18,Populus ×andrewsii Sarg.,hybrid violet,Salicaceae
POJA2,POBE5,Populus ×bernardii B. Boivin,hybrid violet,Salicaceae
POJA2,PODU5,Populus ×dutillyi Lepage,hybrid violet,Salicaceae
POJA2,POGE4,Populus ×generosa Henry,hybrid violet,Salicaceae
POJA2,POGI3,Populus ×gileadensis Rouleau,hybrid violet,Salicaceae
POJA2,POMA21,Populus manitobensis Dode,hybrid violet,Salicaceae
PONI,ABAB3,Populus nigra L.,Lombardy poplar,Salicaceae
PONI,PODI8,Populus dilatata Aiton,hybrid violet,Salicaceae
PONI,POIT,Populus italica (Du Roi) Moench,hybrid violet,Salicaceae
PONI,PONII,Populus nigra L. var. italica Du Roi,hybrid violet,Salicaceae
POPUL,ABAB3,Populus L.,cottonwood,Salicaceae
PORO4,ABAB3,Populus ×rouleauiana B. Boivin [alba × grandidentata],cottonwood,Salicaceae
POTR5,ABAB3,Populus tremuloides Michx.,quaking aspen,Salicaceae
POTR5,POAU8,Populus aurea Tidestr.,hybrid violet,Salicaceae
POTR5,POCE6,Populus cercidiphylla Britton,hybrid violet,Salicaceae
POTR5,POPO12,Populus ×polygonifolia Bernard,hybrid violet,Salicaceae
POTR5,POTRT,Populus tremula L. ssp. tremuloides (Michx.) Á. Löve & D. Löve,hybrid violet,Salicaceae
POTR5,POTRA,Populus tremuloides Michx. var. aurea (Tidestr.) Daniels,hybrid violet,Salicaceae
